Job Title,Job Category,Date Posted,Company Name,Job Location,Job Expired Date,Minimal Salary,Maximal Salary,Employment Type,Job URL
Penerjemah Bahasa Mandarin,"Legal, Consulting & Translation",17-10-2023,Klinik Apollo ,Jakarta Pusat,2023-11-17,8000000,20000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/penerjemah-bahasa-mandarin/23e33daa-c2af-47be-866b-8e4dce569e66
COLLECTION OFFICER (CO),Accounting & Finance,05-10-2023,PT.SINAR JERNIH SUKSESINDO,Sidoarjo,2023-11-05,4500000,45000100,FULL_TIME,https://glints.com/id/en/opportunities/jobs/collection-officer-co/733ff7cc-3b4c-4ed2-a994-944f52869a18
Manager,General Management,17-10-2023,PT. MID ARYA SURABAYA,Surabaya,2023-11-17,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/manager/d043b5e7-23dc-4f09-98fc-bd4e643adfd1
Frontend Engineer Mobile,Computer & Information Technology,13-10-2023,Airpaz.com,Jakarta Utara,2023-11-13,10000000,17000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/frontend-engineer-mobile/5dd1c82d-1de2-4457-ba49-0372285090f8
Sales Consultant,Car Services,20-10-2023,Honda IKM Hasyim Ashari,Jakarta Pusat,2023-11-20,2800000,15000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sales-consultant/1b43e7ba-9673-44f1-878a-a5498d6bc22c
Penerjemah Bahasa Mandarin,"Legal, Consulting & Translation",19-10-2023,PT Realway Media Indonesia,Jakarta Utara,2023-11-19,7000000,10000000,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/penerjemah-bahasa-mandarin/6a72baf1-a152-4e70-8e14-f4f2d3723542
Staff Marketing,Accounting & Finance,21-10-2023,CV Edukasi Indonesia Jaya,Karawang,2023-11-21,2500000,2570000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/staff-marketing/5e4eb049-e8fb-41b3-8e61-99289ad7ce60
Staff Security (Pengamanan),Manufacturing & Production,21-10-2023,PT Mechtron Mastevi Indonesia,Medan,2023-11-21,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/staff-security-pengamanan/270bf269-62b7-4772-b905-a10cec4898f8
Content Creator,Digital Marketing,21-10-2023,PT. Harvey Universal Industri,Jakarta Barat,2023-11-21,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/content-creator/e21a878e-41b5-4641-93bd-f3efd584e5aa
Host Live Streaming,Arts & Creative,21-10-2023,PT Chuchu Teknologi Indonesia ,Jakarta Utara,2023-11-21,4000000,8000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/host-live-streaming/b1a5f32b-cabf-4344-bf3b-0b82346e5c42
Guru Privat Matematika,Education & Training,21-10-2023,Guru Gue,Nganjuk,2023-11-21,300000,3001000,PART_TIME,https://glints.com/id/en/opportunities/jobs/guru-privat-matematika/089c17f0-4cca-4268-9ae0-abb0fe9f724a
